"","ID","date","url","title","source","duplicate","body"
"15","999353316","2018-11-20","https://www.thehindu.com/news/cities/Delhi/teacher-gets-massage-from-students-suspended/article25552630.ece","Teacher gets massage from students; suspended","The Hindu",FALSE,"An assistant teacher in an East Delhi Municipal Corporation (EDMC)-run primary school was suspended for getting head massages from students, the civic body said in a statement on Tuesday.

The teacher was suspended after the EDMC took cognisance of media reports on the incident, it said. A video of the same had earlier circulated on the Internet.

The teacher was working in the second shift of a school in Sadatpur in Shahdara.

Additional Commissioner Alka Sharma said that such incidents were unacceptable and would not be tolerated. Anyone found involved would be dealt with strictly, she added."
"16","993450385","2018-11-13","https://www.business-standard.com/article/pti-stories/govt-school-teacher-suspended-in-rajsamand-118111301462_1.html","Govt school teacher suspended in Rajsamand","Business Standard",FALSE,"Shambhulal Regar, who lynched man on camera, may contest 2019 polls

A senior teacher was suspended and five other government employees were served show-cause notices on Tuesday for laxity in election related duty in Rajasthan's Rajsamand district, officials said.

District Election Officer Shyam Lal Gurjar in an order suspended senior teacher Mangugiri Goswami, who was posted at a government school in Ajitgarh, for not attending an election training program.

The officer also served show-cause notices to five others for delay in appearing for an election training program. The employees had reached the training session one hour late.

(This story has not been edited by Business Standard staff and is auto-generated from a syndicated feed.)"
"17","992977910","2018-11-13","https://www.hindustantimes.com/mumbai-news/pune-student-s-face-disfigured-after-alleged-corporal-punishment-teacher-suspended/story-q5i3CGJBCEweFgeArRXPqN.html","Pune student's face disfigured after alleged corporal punishment, teacher suspended","Hindustan Times",FALSE,"The complaint involves physical assault on the student between October 15 and November 2, according to Shailendra Patil, father of the child.(Picture for representation)

The management of Shri Shivaji Preparatory Military School (SSPMS) in Pune has suspended a teacher, pending enquiry, following a complaint of severe corporal punishment by parents of a Class 6 student.

The complaint involves physical assault on the student between October 15 and November 2, according to Shailendra Patil, father of the child.

Patil says, ""We had gone to pick up our son on November 5 for Diwali and were shocked to see his face swollen. He told us his drawing teacher hit him after his homework was found incomplete, he was extremely shaken and was scared to complain.""

SS Patil, principal of the school, said, ""We received the complaint on Monday. As per procedure, we have suspended the teacher. Although parents claim that the teacher has been committing such actions for a long time against many students, the matter still needs to be investigated thoroughly. We are setting up a committee to probe the matter.""

The father also said that a visit to the doctor revealed the possibility of bell's palsy in his son as the face has begun to disfigure.""His elder brother, who is studying in the same school in Class 8, revealed to us that the teacher has a history of corporal punishment. We decided to come to Pune to escalate the matter and get a better treatment for our son,"" Patil said, adding that the family did not believe a police complaint was necessary at this stage.

The parents also said that despite several requests, the school has not provided CCTV footage of the classroom where the alleged incident may have taken place."
"19","987556893","2018-11-06","https://www.freepressjournal.in/india/punjab-principal-teacher-of-fazilka-govt-school-suspended-over-girls-stripping-incident/1391360","Punjab: Principal, teacher of Fazilka Govt school suspended over 'girls stripping incident'","Free Press Journal",FALSE,"Chandigarh: The principal and a teacher of a government girls school in Punjab's Fazilka district have been suspended for allegedly stripping some students to check who was wearing a sanitary pad, after a soiled one was found in the school toilet, an official spokesperson said Tuesday.

The orders were issued on Monday night after Punjab Chief Minister Amarinder Singh received an inquiry report, which found the incident to be a case of ""gross negligence, indifference and insensitivity"" on the part of the teachers of the school, he said.

School headmaster Kuldeep Kaur and teacher Jyoti have been suspended on the directives of the chief minister, the spokesperson said. A charge sheet will also be issued under Rule 8 of the Conduct Rules against Kaur and Jyoti, who have been placed under suspension, he said.

The incident, which came to light last week, was brought to the chief minister's notice after a video showed students crying and complaining that they had been stripped by the teachers in the school premises. The teachers were reportedly trying to find out who was wearing a sanitary pad, after a soiled one was found in the school toilet.

The chief minister has issued strict instructions to show no laxity in the matter as the respect and dignity of the students could not be allowed to be compromised at any cost. Singh has reiterated his government's commitment to providing a favourable environment for education and empowerment of girls.

The chief minister had on Friday ordered a probe into the allegations of stripping made by some of the students and their parents. The chief minister had also directed Secretary Education Krishan Kumar to complete the investigation by Monday and take further action if necessary.

The inquiry report said the students were checked twice on the directions and with full knowledge of the school principal and the teacher. The girls were checked with their clothes on the first time and then the two women got them checked again by senior girl students of class 8 with their clothes taken off, as per the SDM Abohar, at whose office the statements of Kuldeep and Jyoti were recorded on Monday.

During the first checking, which was undertaken in the mid-day meal kitchen, Kaur was standing outside during the process, the inquiry committee members, District Education Officer Fazilka Kulwant Singh, Station House Officer Sadar Abohar Angrej Singh and District Child Protection Officer Fazilka Ritu, have stated in their report, the spokesperson said.

The committee unanimously agreed to the ""indifference and insensitivity"" towards women's physical dignity expressed by the school staff. The report further said that though there may not have been any intent of physical/sexual assault, the teachers, at the outset, were found to be ""negligent and careless""."
"20","987525648","2018-11-06","https://www.business-standard.com/article/pti-stories/fazilka-govt-school-principal-teacher-suspended-in-girls-stripping-incident-118110600367_1.html","Fazilka govt school principal, teacher suspended in girls stripping incident","Business Standard",FALSE,"Awareness on sanitary napkins still low in rural areas: India's real Pad Man (IANS Interview) (May 28 is Menstrual Hygiene Day)

The principal and a teacher of a government girls school in Punjab's Fazilka district have been suspended for allegedly stripping some students to check who was wearing a sanitary pad, after a soiled one was found in the school toilet, an official spokesperson said Tuesday.

The orders were issued on Monday night after Punjab Chief Minister Amarinder Singh received an inquiry report, which found the incident to be a case of ""gross negligence, indifference and insensitivity"" on the part of the teachers of the school, he said.

School headmaster Kuldeep Kaur and teacher Jyoti have been suspended on the directives of the chief minister, the spokesperson said.

A charge sheet will also be issued under Rule 8 of the Conduct Rules against Kaur and Jyoti, who have been placed under suspension, he said.

The incident, which came to light last week, was brought to the chief minister's notice after a video showed students crying and complaining that they had been stripped by the teachers in the school premises. The teachers were reportedly trying to find out who was wearing a sanitary pad, after a soiled one was found in the school toilet.

The chief minister has issued strict instructions to show no laxity in the matter as the respect and dignity of the students could not be allowed to be compromised at any cost.

Singh has reiterated his government's commitment to providing a favourable environment for education and empowerment of girls.

The chief minister had on Friday ordered a probe into the allegations of stripping made by some of the students and their parents. The chief minister had also directed Secretary Education Krishan Kumar to complete the investigation by Monday and take further action if necessary.

The inquiry report said the students were checked twice on the directions and with full knowledge of the school principal and the teacher.

The girls were checked with their clothes on the first time and then the two women got them checked again by senior girl students of class 8 with their clothes taken off, as per the SDM Abohar, at whose office the statements of Kuldeep and Jyoti were recorded on Monday.

During the first checking, which was undertaken in the mid-day meal kitchen, Kaur was standing outside during the process, the inquiry committee members, District Education Officer Fazilka Kulwant Singh, Station House Officer Sadar Abohar Angrej Singh and District Child Protection Officer Fazilka Ritu, have stated in their report, the spokesperson said.

The committee unanimously agreed to the ""indifference and insensitivity"" towards women's physical dignity expressed by the school staff.

The report further said that though there may not have been any intent of physical/sexual assault, the teachers, at the outset, were found to be ""negligent and careless""."
"21","987516235","2018-11-06","https://www.indiatoday.in/india/story/fazilka-school-head-teacher-suspended-over-stripping-incident-chargesheet-to-follow-1383384-2018-11-06","Fazilka school head and teacher suspended over stripping incident, chargesheet to follow ","India Today",FALSE,"The incident was brought to the notice of Captain Amarinder Singh after a video showed girl students crying and complaining that they had been stripped by the teachers in the school premises.

The head and a teacher of the Government Girls School, Village Kundal, Fazilka, have been suspended on the directives of Punjab Chief Minister Captain Amarinder Singh, over the alleged stripping of girls following the discovery of a sanitary pad in the school toilet.

The orders were issued late on Monday night after he received the inquiry report, which found the incident to be a case of gross negligence, indifference and insensitivity on the part of the teachers of the school.

The Chief Minister has issued strict instructions to show no laxity in the matter as the respect and dignity of the girl students could not be allowed to be compromised at any cost. He has reiterated his government's commitment to providing a favourable environment for the education and empowerment of girls.

The Chief Minister had on Friday ordered a probe into the allegations of stripping made by some of the students and their parents. The Chief Minister had also directed Secretary Education Krishan Kumar to complete the investigation by Monday and take further action as necessary.

The incident was brought to the notice of Captain Amarinder after a video showed girl students crying and complaining that they had been stripped by the teachers in the school premises. The teachers were reportedly trying to find out which of the girls was wearing a sanitary pad, after one was found in the school toilet.

The inquiry report said the students were checked twice on the directions, and with the full knowledge of, the school head Kuldeep Kaur and teacher Jyoti. The girls were checked with their clothes on the first time, and then the two women got them checked again by senior girl students of Class VIII with their clothes taken off, as per the SDM Abohar, at whose office the statements of Kuldeep and Jyoti were recorded on Monday.

During the first checking, which was undertaken in the mid-day meal kitchen, Kuldeep Kaur was standing outside all through the process, the inquiry committee members, DEO Fazilka Kulwant Singh, SHO Sadar Abohar Angrej Singh and District Child Protection Officer Fazilka Ritu, have stated in their report.

The committee unanimously agreed to the indifference and insensitivity towards women's physical dignity expressed by the school staff. The report further said that though there may not have been any intent of physical/sexual assault, the teachers, at the outset, were found to be negligent and careless.

A chargesheet will be issued under Rule 8 of the Conduct Rules against the Kuldeep and Joyti, who have already been placed under suspension, according to the Fazilka.

Also read: Girls strip-searched in Punjab school to check for sanitary pad"
"22","979437399","2018-10-26","https://www.thehindu.com/news/cities/Vijayawada/teacher-suspended-for-misbehaving-with-girls/article25339835.ece","Teacher suspended for misbehaving with girls","The Hindu",FALSE,"Krishna District Education Officer M.V. Rajya Lakshmi on Friday suspended a social sciences teacher on charges of indecent behaviour with girl students of an upper primary school. One of the victims had recently lodged a complaint against the teacher, bringing to the fore the issue of the indecent behaviour with the girls of various classes in the school under the Pamidimukkala police limits in Krishna district.

However, the revenue officials conducted a preliminary inquiry into the complaint and submitted a report to the education authorities. ""G. Suman Kumar, social science teacher, has been placed under suspension on charges of alleged misconduct with the girl students in the upper primary school based on a report submitted by the Tahsildar. He has been directed not to leave the headquarters until further orders,"" stated Ms. Rajya Lakshmi in her order issued on Friday. On the other hand, a departmental inquiry has also been ordered."
"23","972830267","2018-10-18","https://indianexpress.com/article/north-east-india/manipur/jail-staff-head-warden-suspended-for-cuffing-manipur-university-teacher-during-medical-checkup-5408108/","Jail staff, head warden suspended for 'cuffing' Manipur University teacher during medical checkup","The Indian Express",FALSE,"The ADGP also barred the suspended staffs from leaving their headquarters without prior information

The Manipur government on Thursday suspended three staffs of Imphal's Sajiwa Central Jail, including the head warden, for allegedly being involved in cuffing a Manipur University (MU) teacher while producing him for a medical check-up.

The suspension of the jail staffs comes two days after the Manipur Human Rights Commission (MHRC) lodged a suo motto case against the jail authorities and Manipur police terming the incident a serious violation of human rights of the undertrial prisoners.

An order issued by the P Doungel, ADGP Jail, said the three jail staffs have been placed under suspension with immediate effect for disciplinary proceedings are contemplated against them.

Read | Arrested Manipur University teachers and students released, FIR dropped

The ADGP also barred the suspended staffs from leaving their headquarters without prior information to the superintendent of the jail.

Prof. S Dorendrajit, Department of Physics, was one of the six teachers lodged in the Sajiwa Central Jail after being arrested during a raid in MU campus on September 20 midnight. On September 11, he was brought to JNIMS hospital for a medical examination with his hands cuffed by the jail staff.

The incident invited criticism against the Manipur Government. Reacting to the incident, Chief Minister N Biren Singh assured stringent action against those involved.

The arrested students and teachers of the varsity, including Prof. S. Dorendrajit, were later released on Tuesday after signing a MoU between the agitators and Manipur Government.

Soon after his release, Dorendrajit termed the episode distasteful and de-humanising. ""I find the treatment given to me by the jail authority not dignified for a teacher,"" he added."
"24","967861280","2018-10-12","https://www.businessinsider.in/stephen-millers-third-grade-teacher-who-said-he-ate-glue-as-a-kid-has-been-suspended/articleshow/66181981.cms","Stephen Miller's third grade teacher who said he ate glue as a kid has been suspended","businessinsider.in",FALSE,"Miller has been identified as the driving force behind the Trump administration's ""zero tolerance"" policy that separated immigrant children from their families at the US-Mexico border.

A teacher who claimed that Stephen Miller, President Donald Trump's senior policy adviser and an immigration hardliner, ate glue as a kid has reportedly been suspended from her job.

Teacher Nikki Fiske told The Hollywood Reporter this week that, as a child, Miller would ""pour the glue on his arm, let it dry, peel it off, and then eat it. He was a strange dude.""

""I remember being concerned about him - not academically. He was OK with that, though I could never read his handwriting. But he had such strange personal habits. He was a loner and isolated and off by himself all the time,"" she said.

She said that she had a lot of ""concerns"" about Miller, so the school's principal ""took some white-out and blanked out all my comments.""

""Of course, Stephen wasn't political then - it wasn't until later that he started to make waves,"" Fiske wrote.

Now, the Santa Monica-Malibu Unified School District has placed her on ""home assignment"" while it decides what to do, if anything, about Fiske's comments, the Los Angeles Times reported.

A school district spokesperson told the Times that they were concerned about ""her release of student information.""

Miller has been a rising star on the far right for years, often making headlines because of his polarizing demeanor and statements.

Miller is reportedly sometimes too extreme even for President Trump. His uncle criticized him in an op-ed for Politico in August, who wrote that Millier's policies today would have made his families journey from Eastern Europe to a series of successful family businesses in the US impossible."
"25","967837058","2018-10-12","https://article.wn.com/view/2018/10/12/Teacher_who_recounted_Trump_aide_eating_glue_as_a_child_is_s_bt/","Teacher who recounted Trump aide eating glue as a child is suspended","article.wn.com",FALSE,"The Teacher Diss Track!! Listen on Spotify now ► https://open.spotify.com/track/0w8GD68kkooayhKhK9K2H5?si=KEgSkTM1SfKi0qj3A0E9nw Produced by Yaygo, Felxatelli, & Morgothbeatz @ProdbyYaygo , @Flexatelli , & @Morgothbeatz [Intro: Jake Paul] Yo. JP Look, I\'m a millionaire, but I ain\'t used nothin\' in my life that my teachers taught me [Chorus: Jake Paul] My teachers never taught me that (My teachers never taught me that) How to deal with this or that How to make my paper stack How to get a DM back How to buy a Lambo cash [Verse 1: Jake Paul] My teachers never taught me that (yo) My teachers never liked me one bit They said I would amount to be shit They thought I was just another misfit I had to make like a banana split Now, Jakey in a mansion Got 8 builders for expansion All these diamonds on my dances Mrs. Clause just see me flashin\' My Lambo hit the gas All these Prius\'s I\'m passin\' I went to Calabasas I feel like Kim Kardashian [Chorus: Jake Paul] My teachers never taught me that (My teachers never taught me that) How to deal with this or that How to make my paper stack How to get a DM back How to buy a Lambo cash My teachers never taught me that [Verse 2: Sunny Malouf] My teachers said I needed to get up on my grades I need to get my B\'s and raise \'em up to dem A\'s I walk in the class, I got Supreme on my J\'s You always tryna hate but you got nothin\' to say I\'m almost at the top, I\'m the young Lebron James I\'m not the same in my own brain I\'m in a different lane It\'s yo girl Sunny and call me Mrs. Stay-On-Top I\'m on this record, killin\' the game, and this a bop [C..."
"26","967746165","2018-10-12","https://article.wn.com/view/2018/10/12/Teacher_who_recounted_Trump_aide_eating_glue_as_a_child_is_s_o/","Teacher who recounted Trump aide eating glue as a child is suspended","article.wn.com",FALSE,"The Teacher Diss Track!! Listen on Spotify now ► https://open.spotify.com/track/0w8GD68kkooayhKhK9K2H5?si=KEgSkTM1SfKi0qj3A0E9nw Produced by Yaygo, Felxatelli, & Morgothbeatz @ProdbyYaygo , @Flexatelli , & @Morgothbeatz [Intro: Jake Paul] Yo. JP Look, I\'m a millionaire, but I ain\'t used nothin\' in my life that my teachers taught me [Chorus: Jake Paul] My teachers never taught me that (My teachers never taught me that) How to deal with this or that How to make my paper stack How to get a DM back How to buy a Lambo cash [Verse 1: Jake Paul] My teachers never taught me that (yo) My teachers never liked me one bit They said I would amount to be shit They thought I was just another misfit I had to make like a banana split Now, Jakey in a mansion Got 8 builders for expansion All these diamonds on my dances Mrs. Clause just see me flashin\' My Lambo hit the gas All these Prius\'s I\'m passin\' I went to Calabasas I feel like Kim Kardashian [Chorus: Jake Paul] My teachers never taught me that (My teachers never taught me that) How to deal with this or that How to make my paper stack How to get a DM back How to buy a Lambo cash My teachers never taught me that [Verse 2: Sunny Malouf] My teachers said I needed to get up on my grades I need to get my B\'s and raise \'em up to dem A\'s I walk in the class, I got Supreme on my J\'s You always tryna hate but you got nothin\' to say I\'m almost at the top, I\'m the young Lebron James I\'m not the same in my own brain I\'m in a different lane It\'s yo girl Sunny and call me Mrs. Stay-On-Top I\'m on this record, killin\' the game, and this a bop [C..."
"27","967322426","2018-10-11","https://www.thehindu.com/news/national/tamil-nadu/teacher-suspended-on-charges-of-misbehaviour/article25195974.ece","Teacher suspended on charges of misbehaviour","The Hindu",FALSE,"The physical education teacher of a Government High School near Usoor in Vellore district was suspended on charges of reportedly misbehaving with girl students of the school.

According to sources in the education department, the school has classes from 6th to 10th standard and over 300 boys and girls studying in the school.

There are over 15 teachers in the school.

Sathish Kumar worked as the physical education teacher in the school.

Over the past few months, he was reportedly misbehaving with girl students.

A few days ago some girls complained about the issue the teachers who took up the issue with the education department and district child welfare officers. On Wednesday, child welfare officers conducted an investigation and spoke to the affected girls.

On Thursday S. Mars, Chief Education Officer, placed the teacher under suspension."
"28","966551986","2018-10-10","https://indianexpress.com/article/education/delhi-teacher-suspended-for-placing-hindu-muslim-boys-in-different-classes-5396568/","Delhi teacher suspended for placing Hindu, Muslim boys in different classes","The Indian Express",FALSE,"""The act of segregating children in a BJP-governed municipal corporation school is a conspiracy against the Constitution,"" Delhi Education Minister Manish Sisodia said.

The teacher in charge of a North Delhi Municipal Corporation primary boys school in Wazirabad has been

suspended for segregating Hindu and Muslim students into different sections.

The Indian Express reported on Wednesday that the section-wise break-up of students showed segregation on religious lines. The teacher, C B Singh Sehrawat, had denied deliberate segregation, but said it ""was a management decision to try and do the best we can to see that there is peace, discipline and a good learning environment in the school"".

According to sources, a preliminary investigation found Sehrawat guilty of segregating the students. ""It was found that this segregation started in August, after the person took charge in July. He undertook this action without any kind of direction or guidance from any official from the education department. We received no information or complaint regarding this earlier. We were shocked when we heard about this,"" said a senior official of the North Delhi Municipal Corporation's education department.

According to a PTI report, the Union HRD Ministry has asked for a report. ""We haven't received any complaint yet but have read about it in media reports. I have asked for a report,"" HRD Minister Prakash Javadekar was quoted as saying.

The Delhi government has also sought a report. ""The act of segregating children in a BJP-governed municipal corporation school is a conspiracy against the Constitution. I have asked the education director to look into the allegations and submit a report by Friday,"" Delhi Education Minister Manish Sisodia said.

READ | Delhi school divided: Hindu and Muslim students assigned to separate sections

The Delhi Commission for Protection of Child Rights has sent a notice to the head of the school and the director (education), North Delhi Municipal Corporation, asking what procedure was followed in assigning sections to students. It has directed the immediate dissolution of the current sections and asked the authorities to ""ensure homogenous distribution of students"" within two days of receipt of the notice.

In a statement, Mayor, North Delhi, Adesh Gupta said: ""Social divide on the basis of caste, community or religion will not be tolerated in schools of North Delhi Municipal Municipal Corporation... If any such divide is found to be in practice, it will be rectified immediately and strict action will be taken against those found guilty."" He confirmed that the teacher in-charge has been suspended and ""major penalty proceedings"" have been initiated against him.

""It is shocking that the seeds of hatred are being sown among children of such a tender age... When a child is sent to school, he is not told whether he is Hindu or Muslim, he is only sent to be educated and absorbs knowledge by sitting in a classroom with students from all religions... Which political leader or municipal officer's directions are behind this action needs to be found out through a high-level investigation and strict action needs to be taken,"" said Mukesh Goel, Leader of Opposition, North Delhi Municipal Corporation.

Must Watch Google Pixel 3 and Pixel 3 XL unboxing video: Price starts at Rs 71,000 and here's a close look Happy Birthday Rekha: Lesser known facts about the actress UP, Bihar migrants flee Gujarat after rape of 14-month girl triggers violence Google to shut down Google Plus: five things to know"
"30","957793643","2018-09-29","http://www.newindianexpress.com/states/andhra-pradesh/2018/sep/30/teacher-suspended-for-campaigning-for-andhra-pradesh-cm-k-chandrasekhar-rao-1878985.html","Teacher suspended for campaigning for Andhra Pradesh CM K Chandrasekhar Rao","The New Indian Express",FALSE,"KARIMNAGAR: A Secondary Grade Teacher (SGT) D Ravinder, working at Malyala Government Primary School in Ellandakunta Mandal of Karimnagar, was suspended for motivating people to take oath to vote for the TRS party in the coming general elections. Based on video clips, local Mahila congress leaders had complained to the district collector and educational authorities on September 18. On the direction of collector, mandal educational officer enquired about the incident and submitted the report to the Collector and DEO.

Collector Sarfaraz Ahmed directed DEO S Venkateshwarlu to take necessary action. DEO suspended Ravinder on September 26 for violating The Central Civil Services (Classification, control and appeal) Rules, 1965. Until further orders he should not leave the headquarter without obtaining the prior permission, DEO told in the suspension proceedings."
"31","957767803","2018-09-29","https://www.deccanchronicle.com/nation/politics/300918/biased-teacher-suspended-for-vote-for-trs-oath.html","'Biased' teacher suspended for vote for TRS oath","Deccan Chronicle",FALSE,"Karimnagar: A teacher working in the government primary school in Malyal in Ellanthakunta mandal was suspended for administering an oath to villagers to vote for the TRS.

Karimnagar district education officer S. Venkateshwarlu issued orders on Saturday suspending second grade teacher D. Ravinder.

The education department had ordered an inquiry into the memorandum submitted on Mr Ravinder's alleging bias towards the TRS by Mahila Congress leaders.

The suspension orders said that Mr Ravinder shall not leave the mandal headquarters without the permission of officials. The decision was taken based on a video which went viral in which Mr Ravinder was leading the villagers in taking an oath to vote for the TRS candidate in the general elections."
